net_id,arc_id,from_id,to_id,value
2005-03-31,AT-AU,AT,AU,499
2005-03-31,AT-BE,AT,BE,5824
2005-03-31,AT-CL,AT,CL,1
2005-03-31,AT-DE,AT,DE,149459
2005-03-31,AT-FR,AT,FR,7426
2005-03-31,AT-GB,AT,GB,14278
2005-03-31,AT-GR,AT,GR,877
2005-03-31,AT-IT,AT,IT,4153
2005-03-31,AT-JP,AT,JP,5459
2005-03-31,AT-NL,AT,NL,12183
2005-03-31,AT-TR,AT,TR,530
2005-03-31,AT-TW,AT,TW,140
2005-03-31,AT-US,AT,US,6851
2005-03-31,AU-BE,AU,BE,5245
2005-03-31,AU-CL,AU,CL,10
2005-03-31,AU-DE,AU,DE,31573
2005-03-31,AU-FR,AU,FR,31463
2005-03-31,AU-GB,AU,GB,87348
2005-03-31,AU-GR,AU,GR,42
2005-03-31,AU-IT,AU,IT,767
2005-03-31,AU-JP,AU,JP,21776
2005-03-31,AU-NL,AU,NL,47143
2005-03-31,AU-TR,AU,TR,7
2005-03-31,AU-TW,AU,TW,2173
2005-03-31,AU-US,AU,US,33451
2005-03-31,BE-AU,BE,AU,1135
2005-03-31,BE-CL,BE,CL,1
2005-03-31,BE-DE,BE,DE,65831
2005-03-31,BE-FR,BE,FR,55607
2005-03-31,BE-GB,BE,GB,54822
2005-03-31,BE-GR,BE,GR,804
2005-03-31,BE-IT,BE,IT,5173
2005-03-31,BE-JP,BE,JP,14125
2005-03-31,BE-TR,BE,TR,222
2005-03-31,BE-TW,BE,TW,439
2005-03-31,BE-US,BE,US,20263
2005-03-31,CA-AU,CA,AU,1884
2005-03-31,CA-BE,CA,BE,3624
2005-03-31,CA-CL,CA,CL,4
2005-03-31,CA-DE,CA,DE,22318
2005-03-31,CA-FR,CA,FR,15214
2005-03-31,CA-GB,CA,GB,61026
2005-03-31,CA-GR,CA,GR,484
2005-03-31,CA-IT,CA,IT,628
2005-03-31,CA-JP,CA,JP,22334
2005-03-31,CA-NL,CA,NL,23849
2005-03-31,CA-TR,CA,TR,143
2005-03-31,CA-TW,CA,TW,694
2005-03-31,CA-US,CA,US,39772
2005-03-31,CH-AU,CH,AU,1974
2005-03-31,CH-BE,CH,BE,9504
2005-03-31,CH-CL,CH,CL,24
2005-03-31,CH-DE,CH,DE,53693
2005-03-31,CH-FR,CH,FR,30767
2005-03-31,CH-GB,CH,GB,38076
2005-03-31,CH-GR,CH,GR,174
2005-03-31,CH-IT,CH,IT,6569
2005-03-31,CH-JP,CH,JP,11280
2005-03-31,CH-NL,CH,NL,15671
2005-03-31,CH-TR,CH,TR,207
2005-03-31,CH-TW,CH,TW,724
2005-03-31,CH-US,CH,US,20124
2005-03-31,CL-AU,CL,AU,79
2005-03-31,CL-BE,CL,BE,124
2005-03-31,CL-DE,CL,DE,2778
2005-03-31,CL-FR,CL,FR,1480
2005-03-31,CL-GB,CL,GB,1790
2005-03-31,CL-IT,CL,IT,385
2005-03-31,CL-JP,CL,JP,1101
2005-03-31,CL-TW,CL,TW,96
2005-03-31,CL-US,CL,US,8323
2005-03-31,DE-AU,DE,AU,7029
2005-03-31,DE-BE,DE,BE,73715
2005-03-31,DE-CL,DE,CL,114
2005-03-31,DE-FR,DE,FR,126044
2005-03-31,DE-GB,DE,GB,150228
2005-03-31,DE-GR,DE,GR,889
2005-03-31,DE-IT,DE,IT,41847
2005-03-31,DE-JP,DE,JP,90298
2005-03-31,DE-NL,DE,NL,218274
2005-03-31,DE-TR,DE,TR,1520
2005-03-31,DE-TW,DE,TW,3601
2005-03-31,DE-US,DE,US,125288
2005-03-31,ES-AU,ES,AU,858
2005-03-31,ES-BE,ES,BE,19601
2005-03-31,ES-CL,ES,CL,62
2005-03-31,ES-DE,ES,DE,123191
2005-03-31,ES-FR,ES,FR,73296
2005-03-31,ES-GB,ES,GB,72378
2005-03-31,ES-GR,ES,GR,23
2005-03-31,ES-IT,ES,IT,11520
2005-03-31,ES-JP,ES,JP,17891
2005-03-31,ES-NL,ES,NL,75043
2005-03-31,ES-TR,ES,TR,34
2005-03-31,ES-TW,ES,TW,139
2005-03-31,ES-US,ES,US,21474
2005-03-31,FI-AU,FI,AU,553
2005-03-31,FI-BE,FI,BE,2482
2005-03-31,FI-CL,FI,CL,6
2005-03-31,FI-DE,FI,DE,15363
2005-03-31,FI-FR,FI,FR,4750
2005-03-31,FI-GB,FI,GB,7925
2005-03-31,FI-GR,FI,GR,292
2005-03-31,FI-IT,FI,IT,369
