"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",315.188,334.603,386.995,429.638,398.602,390.94,429.431,407.677,428.382,439.073,377.157,386.752,383.509
"2",734.786,781.934,949.164,1057.171,997.169,1249.703,1504.236,1561.052,1509.639,1449.336,1229.706,1258.978,1359.723
"3",388.029,410.173,472.475,521.084,485.781,484.45,527.491,498.16,520.254,532.607,455.336,466.96,462.715
"4",1169.467,1315.515,1464.978,1549.073,1371.152,1613.463,1788.647,1824.289,1842.627,1792.883,1552.808,1529.224,1600.265
"5",407.592,429.477,477.784,552.287,540.966,580.607,696.447,664.902,685.104,702.736,670.656,659.85,659.368
"6",122.958,154.782,173.471,179.51,172.512,218.272,252.072,267.026,278.34,260.954,242.537,247.025,251.22
"7",2866.308,3005.081,3444.723,3770.15,3426.672,3423.466,3761.142,3545.946,3753.687,3885.44,3365.293,3466.639,3423.287
"8",1159.257,1265.661,1481.393,1642.738,1502.876,1434.257,1489.381,1336.685,1362.202,1378.042,1193.556,1232.597,1232.44
"9",204.786,216.742,255.739,285.087,252.137,248.262,273.925,256.849,270.065,273.042,232.479,236.883,234.524
"10",2207.45,2327.052,2666.805,2937.321,2700.658,2651.772,2865.304,2682.901,2809.39,2843.673,2420.163,2463.222,2420.44
"11",2511.165,2682.213,3064.351,2898.941,2377.16,2431.169,2611.108,2655.458,2721.489,3002.394,2863.304,2629.188,2496.757
"12",248.207,273.558,318.94,356.14,330.837,299.919,288.062,245.807,239.937,236.455,194.958,194.248,193.1
"13",211.698,232.239,270.056,274.935,235.714,221.27,240.483,225.799,238.991,255.896,283.424,293.605,294.193
"14",1855.834,1944.339,2206.109,2402.062,2190.7,2129.021,2278.376,2073.971,2131.157,2155.153,1825.82,1850.735,1807.425
"15",4755.98,4530.475,4515.264,5037.91,5231.384,5700.099,6157.46,6203.213,5155.716,4848.733,4382.42,4938.644,4841.221
"16",898.137,1012.044,1122.679,1002.219,901.935,1094.499,1202.464,1222.807,1305.605,1411.334,1382.764,1411.246,1498.074
"17",679.695,727.287,840.583,940.665,860.108,837.949,894.576,829.406,866.951,881.033,750.696,771.163,762.694
"18",389.043,420.017,487.818,513.966,429.656,488.378,563.11,543.881,578.742,573.818,495.694,511.397,507.046
"19",501.165,550.798,675.008,764.639,644.467,772.294,832.497,873.696,950.328,934.072,859.04,857.429,793.698
"20",375.787,388.547,408.221,417.038,392.106,446.141,485.671,495.919,511.599,530.515,525.236,528.55,566.757
"21",13093.7,13855.9,14477.625,14718.575,14418.725,14964.4,15517.925,16155.25,16691.5,17393.1,18036.65,18569.1,19417.144
